linear params: 227809

Starting epoch 1/20...
  batch 50/4465 loss 5.9462
  batch 100/4465 loss 4.4232
  batch 150/4465 loss 3.9344
  batch 200/4465 loss 3.8319
  batch 250/4465 loss 3.6885
  batch 300/4465 loss 3.5809
  batch 350/4465 loss 3.4682
  batch 400/4465 loss 3.1993
  batch 450/4465 loss 3.1664
  batch 500/4465 loss 3.3932
  batch 550/4465 loss 3.1753
  batch 600/4465 loss 3.1695
  batch 650/4465 loss 3.1812
  batch 700/4465 loss 2.9654
  batch 750/4465 loss 3.0114
  batch 800/4465 loss 2.8945
  batch 850/4465 loss 2.7049
  batch 900/4465 loss 2.6886
  batch 950/4465 loss 2.6892
  batch 1000/4465 loss 2.7841
  batch 1050/4465 loss 2.8079
  batch 1100/4465 loss 2.6337
  batch 1150/4465 loss 2.6825
  batch 1200/4465 loss 2.5921
  batch 1250/4465 loss 2.6744
  batch 1300/4465 loss 2.6653
  batch 1350/4465 loss 2.5027
  batch 1400/4465 loss 2.4271
  batch 1450/4465 loss 2.4285
  batch 1500/4465 loss 2.4354
  batch 1550/4465 loss 2.4497
  batch 1600/4465 loss 2.4165
  batch 1650/4465 loss 2.3827
  batch 1700/4465 loss 2.1749
  batch 1750/4465 loss 2.3693
  batch 1800/4465 loss 2.4943
  batch 1850/4465 loss 2.4010
  batch 1900/4465 loss 2.3600
  batch 1950/4465 loss 2.4545
  batch 2000/4465 loss 2.4051
  batch 2050/4465 loss 2.2778
  batch 2100/4465 loss 2.3061
  batch 2150/4465 loss 2.1923
  batch 2200/4465 loss 2.2965
  batch 2250/4465 loss 2.2609
  batch 2300/4465 loss 2.1665
  batch 2350/4465 loss 2.2574
  batch 2400/4465 loss 2.0937
  batch 2450/4465 loss 2.1636
  batch 2500/4465 loss 2.2490
  batch 2550/4465 loss 2.0306
  batch 2600/4465 loss 2.2086
  batch 2650/4465 loss 2.1471
  batch 2700/4465 loss 2.1479
  batch 2750/4465 loss 1.9981
  batch 2800/4465 loss 2.0412
  batch 2850/4465 loss 2.0810
  batch 2900/4465 loss 2.1613
  batch 2950/4465 loss 2.1902
  batch 3000/4465 loss 2.0192
  batch 3050/4465 loss 2.1065
  batch 3100/4465 loss 2.0934
  batch 3150/4465 loss 2.1880
  batch 3200/4465 loss 1.9870
  batch 3250/4465 loss 1.9962
  batch 3300/4465 loss 2.0036
  batch 3350/4465 loss 1.9976
  batch 3400/4465 loss 2.0345
  batch 3450/4465 loss 1.9775
  batch 3500/4465 loss 1.9735
  batch 3550/4465 loss 1.9714
  batch 3600/4465 loss 2.0018
  batch 3650/4465 loss 1.8532
  batch 3700/4465 loss 2.0267
  batch 3750/4465 loss 1.8717
  batch 3800/4465 loss 1.9375
  batch 3850/4465 loss 1.8615
  batch 3900/4465 loss 1.8878
  batch 3950/4465 loss 1.8693
  batch 4000/4465 loss 1.8508
  batch 4050/4465 loss 2.0924
  batch 4100/4465 loss 2.0821
  batch 4150/4465 loss 1.8791
  batch 4200/4465 loss 1.8370
  batch 4250/4465 loss 1.8491
  batch 4300/4465 loss 1.8239
  batch 4350/4465 loss 1.7700
  batch 4400/4465 loss 1.9855
  batch 4450/4465 loss 1.8126
  batch 4465/4465 loss 1.7029
ep01/20  train 2.4658  val WAPE 0.2111  time 20.6s
  ✓ new best WAPE: 0.2111

Starting epoch 2/20...
  batch 50/4465 loss 1.8455
  batch 100/4465 loss 1.7807
  batch 150/4465 loss 1.8095
  batch 200/4465 loss 1.8157
  batch 250/4465 loss 1.7872
  batch 300/4465 loss 1.7560
  batch 350/4465 loss 1.7684
  batch 400/4465 loss 1.9584
  batch 450/4465 loss 1.7600
  batch 500/4465 loss 1.7771
  batch 550/4465 loss 1.6981
  batch 600/4465 loss 1.7876
  batch 650/4465 loss 1.8550
  batch 700/4465 loss 1.7729
  batch 750/4465 loss 1.7148
  batch 800/4465 loss 1.8188
  batch 850/4465 loss 1.7620
  batch 900/4465 loss 1.7679
  batch 950/4465 loss 1.8340
  batch 1000/4465 loss 1.7353
  batch 1050/4465 loss 1.7851
  batch 1100/4465 loss 1.7613
  batch 1150/4465 loss 1.8267
  batch 1200/4465 loss 1.6955
  batch 1250/4465 loss 1.8411
  batch 1300/4465 loss 1.7001
  batch 1350/4465 loss 1.8510
  batch 1400/4465 loss 1.8171
  batch 1450/4465 loss 1.5787
  batch 1500/4465 loss 1.6074
  batch 1550/4465 loss 1.6248
  batch 1600/4465 loss 1.6025
  batch 1650/4465 loss 1.6809
  batch 1700/4465 loss 1.6841
  batch 1750/4465 loss 1.7659
  batch 1800/4465 loss 1.6871
  batch 1850/4465 loss 1.7897
  batch 1900/4465 loss 1.6250
  batch 1950/4465 loss 1.6486
  batch 2000/4465 loss 1.6318
  batch 2050/4465 loss 1.6934
  batch 2100/4465 loss 1.6272
  batch 2150/4465 loss 1.7445
  batch 2200/4465 loss 1.6605
  batch 2250/4465 loss 1.6403
  batch 2300/4465 loss 1.6343
  batch 2350/4465 loss 1.6960
  batch 2400/4465 loss 1.5113
  batch 2450/4465 loss 1.8214
  batch 2500/4465 loss 1.6698
  batch 2550/4465 loss 1.7195
  batch 2600/4465 loss 1.5606
  batch 2650/4465 loss 1.6044
  batch 2700/4465 loss 1.4879
  batch 2750/4465 loss 1.5763
  batch 2800/4465 loss 1.7303
