model,fold,wape,mae,rmse,mse,mape,smape
naive_last_value,0,0.49958243862992224,5.3358620559414875,6.923003312675271,47.92797486731278,0.6581151116859415,0.5421968701469743
lag24_repeat,0,0.4626163591326467,4.94104052961369,6.5300515575341125,42.64157334405368,0.6875717047734764,0.4575428970316178
lag168_repeat,0,0.42735403019220425,4.564416156039953,6.053785978236122,36.648324670288275,0.6218397683944473,0.43338705230170066
seasonal_mean,0,0.3137693159259928,3.3512582863395,4.535094973639212,20.567086419927644,0.4289129926771922,0.3465225333178738
naive_last_value,1,0.5599138673446549,5.256452121830837,6.971039674749401,48.595394146930225,0.6495076836385264,0.6453882115059808
lag24_repeat,1,0.41258552098197876,3.8733386752634917,5.345199451152046,28.571157172596138,0.5189793744194834,0.45701086144618236
lag168_repeat,1,0.45695459019685297,4.2898739704585,5.907223867684645,34.89529382294314,0.5718572011895702,0.5012690953583945
seasonal_mean,1,0.3673489661297417,3.4486594547522578,4.550863030507042,20.71035432243574,0.5701619908441026,0.3981460003977418
naive_last_value,2,0.42262758142673856,4.900263874941867,6.318717197549832,39.926187022612,0.5833276683182992,0.4509624626082198
lag24_repeat,2,0.4290272151760402,4.974466069622807,6.473179599454376,41.902054126792315,0.557231218840688,0.4838561767077476
lag168_repeat,2,0.3901641354525235,4.523858125401005,6.020703891797235,36.24887535270237,0.525395479272713,0.4285808352046166
seasonal_mean,2,0.2982593620188127,3.4582446610086004,4.7789023331203415,22.837907509503047,0.3684774050857518,0.32835402925720814
